comment,likes,rating,useful
"Disappointed. Dlm gambar labuh boleh belakang, tp nj paras pinggang.",1,1,1
"saya dapat baju ni kotor, banyak sangat stain kuning dekat depan and belakang baju, pastu agak berbau sikit. chat seller tunggu berhari takreply, takpelah saya terima je cuma kecewa sikit and seller pun tak reply chat bagi solition pape. ",,2,1
"Jahitan cardigan tak symmetry. Mcm cardigan reject. Sbb tak symmetry tu bahagian lengan sebelah tak selesa sbb jahitan salah. Then, kain dia sangat tebal and kasar. So disappointed  ",,2,1
"The cloth material was good but when I see the cloth carefully , the cloth was a bit dirty",,2,1
Item safely arrived. But I am a bit disappointed as I had actually ordered for nude colour but they told me that it was out of stock so I agreed to change it to navy blue. But then u can see there is a thread hanging on the clothes. I hope at least do a QC beforehand. Overall it fits me well.,,3,1
Padan dgn dengan harga...,,3,1
Baju ni sesuai untuk siapa badan kecik sebab baju kecik. kain agak tebal untuk cuaca malaysia ni. lengan pendek tiga suku je. basically untuk siapa size s tangan pendek boleh la nak pakai,1,3,1
"Much smaller than advertised, better include measurements. Im 164cm and its not as big as expected in photo, will look short on you for those with similar height. ",,3,1
155cm 43kg small not suit for me,,3,1
"good stuff but then the material is kind of itches amd if u have long arms, it's not suitable for u.",,3,1
"Lengan singkat gila for material, mmg tebal & quite nice. Tapi tulah baju pun singkat ",,3,1
Smua ok...warna sma mcm dlm gmbr so far good la...hnya penghtaran ada lambat sdikit,,4,0
"Barang diterima dalam keadaan baik. Material knitted tebal, ok la not bad. Cuma macam kecil sedikit ye, maybe memang fashion gitu kot haha. Lengan dia pun fashion singkat sedikit. It s ok, padan dgn harga. Thanks ya",,4,1
Material okay dan loose. Cuma labuh ngam2 pinggang. Bukan bawah punggung. Tinggi 154cm. Apa2 pun selesa pakai,1,4,1
"Alhamdulillah, dh sampai.. Order 6/6 sampai 9/6.. Kualiti produk ok, tapi ada bahagian yg tidak di jahit...",,4,1
A few loose strands and length tangan dia tak berapa panjang sangat. But it's overall really good and would recommend,,4,1
"Baju Cepat smpi,cume ade jahitan yg xsempurna..",,4,1
Semalam pos harini sampai,,4,0
very fast delivery,,4,0
Nice,,4,0
kain tebal . sedap pakai .. quality bagus .,,4,1
Overall okay cuma cardigan tu bau hapak,,4,1
"Material kain okay, tak ada bulu-bulu halus tu. Tebal sikit. Tak sesuai pakai lama kalau jalan-jalan tengah hari dekat luar. Me 155 cm, 47kg. Cardigan tak cover penuh sampai punggung. Okay sebab cardigan loose.",,4,1
Kain die lembut + tak berbulu but a bit pendek walaupun my height is 153,,4,1
"size nice, material kinda berat mcm tu tapi sampai sampai tadi dia berbau kepam sebab dia lembap padahal dia dalam plastic. ni baru lepas basuhkan dia   i hope next time tak jadi mcm ni lah",,4,1
"The cardigan mmg sama warna mcm dalam gambar, i thought dia a bit shorter than what i expected but still selesa je pakai. Kena pakai inner to make sure tak nampak skin.",,4,1
Received defect item ! But admin offer to return RM 5,,4,1
its a good and thick cardigan but its kinda short for my height 158 cm but overall its fine,,4,1
had some defect on the back :(,,4,1
cardigan ni terlepas jahit or terkena gunting?,,4,1
